Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_51,VPWR,li1,29.9000,73.4400,1.799993
FILLER_23_39,VPWR,li1,26.2200,73.4400,1.799994
FILLER_23_27,VPWR,li1,20.7000,73.4400,1.799996
FILLER_23_15,VPWR,li1,15.1800,73.4400,1.799996
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799996
FILLER_22_141,VPWR,li1,71.3000,73.4400,1.799981
FILLER_22_139,VPWR,li1,69.6900,73.4400,1.799981
FILLER_22_133,VPWR,li1,68.0800,73.4400,1.799981
FILLER_22_97,VPWR,li1,51.0600,73.4400,1.799985
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.799986
FILLER_22_82,VPWR,li1,43.7000,73.4400,1.799988
FILLER_22_70,VPWR,li1,37.9500,73.4400,1.799990
FILLER_22_64,VPWR,li1,36.3400,73.4400,1.799990
FILLER_22_47,VPWR,li1,27.3700,73.4400,1.799994
FILLER_22_29,VPWR,li1,19.3200,73.4400,1.799996
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799996
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.799996
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.799996
FILLER_21_141,VPWR,li1,71.3000,68.0000,1.799939
FILLER_21_122,VPWR,li1,62.3300,68.0000,1.799940
FILLER_21_109,VPWR,li1,56.3500,68.0000,1.799941
FILLER_21_71,VPWR,li1,39.1000,68.0000,1.799956
FILLER_21_54,VPWR,li1,30.8200,68.0000,1.799970
FILLER_21_36,VPWR,li1,22.5400,68.0000,1.799984
FILLER_21_19,VPWR,li1,14.4900,68.0000,1.799984
FILLER_21_7,VPWR,li1,11.5000,68.0000,1.799984
FILLER_20_147,VPWR,li1,73.3700,68.0000,1.799939
FILLER_20_141,VPWR,li1,71.7600,68.0000,1.799939
FILLER_20_130,VPWR,li1,65.5500,68.0000,1.799940
FILLER_20_126,VPWR,li1,64.4000,68.0000,1.799940
FILLER_20_116,VPWR,li1,59.1100,68.0000,1.799941
FILLER_20_107,VPWR,li1,55.2000,68.0000,1.799942
FILLER_20_98,VPWR,li1,51.5200,68.0000,1.799943
FILLER_20_82,VPWR,li1,43.7000,68.0000,1.799949
FILLER_20_71,VPWR,li1,38.8700,68.0000,1.799956
FILLER_20_63,VPWR,li1,36.3400,68.0000,1.799960
FILLER_20_40,VPWR,li1,24.3800,68.0000,1.799979
FILLER_20_29,VPWR,li1,19.0900,68.0000,1.799984
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799984
FILLER_20_3,VPWR,li1,7.3600,68.0000,1.799984
FILLER_19_142,VPWR,li1,72.2200,62.5600,1.799980
FILLER_19_130,VPWR,li1,68.0800,62.5600,1.799980
FILLER_19_118,VPWR,li1,62.5600,62.5600,1.799981
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799982
FILLER_19_96,VPWR,li1,49.9100,62.5600,1.799982
FILLER_19_57,VPWR,li1,34.5000,62.5600,1.799988
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799989
FILLER_19_51,VPWR,li1,29.9000,62.5600,1.799989
FILLER_19_43,VPWR,li1,25.7600,62.5600,1.799991
FILLER_19_28,VPWR,li1,18.8600,62.5600,1.799993
FILLER_19_7,VPWR,li1,10.1200,62.5600,1.799993
FILLER_18_147,VPWR,li1,73.3700,62.5600,1.799980
FILLER_18_141,VPWR,li1,71.7600,62.5600,1.799980
FILLER_18_130,VPWR,li1,65.5500,62.5600,1.799981
FILLER_18_118,VPWR,li1,62.5600,62.5600,1.799981
FILLER_18_106,VPWR,li1,57.0400,62.5600,1.799982
FILLER_18_100,VPWR,li1,51.7500,62.5600,1.799982
FILLER_18_88,VPWR,li1,48.7600,62.5600,1.799982
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799983
FILLER_18_79,VPWR,li1,42.0900,62.5600,1.799984
FILLER_18_75,VPWR,li1,40.9400,62.5600,1.799984
FILLER_18_63,VPWR,li1,37.2600,62.5600,1.799985
FILLER_18_53,VPWR,li1,30.5900,62.5600,1.799989
FILLER_18_34,VPWR,li1,23.0000,62.5600,1.799992
FILLER_18_3,VPWR,li1,7.8200,62.5600,1.799993
FILLER_17_144,VPWR,li1,71.9900,57.1200,1.799981
FILLER_17_140,VPWR,li1,70.8400,57.1200,1.799981
FILLER_17_113,VPWR,li1,57.9600,57.1200,1.799982
FILLER_17_109,VPWR,li1,56.3500,57.1200,1.799982
FILLER_17_97,VPWR,li1,52.9000,57.1200,1.799983
FILLER_17_91,VPWR,li1,47.8400,57.1200,1.799984
FILLER_17_83,VPWR,li1,45.5400,57.1200,1.799985
FILLER_17_73,VPWR,li1,39.5600,57.1200,1.799986
FILLER_17_66,VPWR,li1,36.1100,57.1200,1.799987
FILLER_17_62,VPWR,li1,34.9600,57.1200,1.799987
FILLER_17_53,VPWR,li1,30.5900,57.1200,1.799990
FILLER_17_45,VPWR,li1,26.9100,57.1200,1.799991
FILLER_17_37,VPWR,li1,24.3800,57.1200,1.799993
FILLER_17_25,VPWR,li1,19.7800,57.1200,1.799994
FILLER_17_15,VPWR,li1,12.6500,57.1200,1.799993
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799993
FILLER_16_141,VPWR,li1,71.3000,57.1200,1.799981
FILLER_16_139,VPWR,li1,69.6900,57.1200,1.799981
FILLER_16_120,VPWR,li1,61.4100,57.1200,1.799982
FILLER_16_108,VPWR,li1,57.9600,57.1200,1.799982
FILLER_16_96,VPWR,li1,52.4400,57.1200,1.799983
FILLER_16_85,VPWR,li1,46.4600,57.1200,1.799985
FILLER_16_83,VPWR,li1,43.9300,57.1200,1.799985
FILLER_16_53,VPWR,li1,30.8200,57.1200,1.799990
FILLER_16_41,VPWR,li1,27.1400,57.1200,1.799991
FILLER_16_29,VPWR,li1,21.6200,57.1200,1.799994
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799994
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799993
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799993
FILLER_15_141,VPWR,li1,71.3000,51.6800,1.799982
FILLER_15_130,VPWR,li1,65.7800,51.6800,1.799983
FILLER_15_122,VPWR,li1,63.4800,51.6800,1.799983
FILLER_15_113,VPWR,li1,57.9600,51.6800,1.799985
FILLER_15_110,VPWR,li1,56.5800,51.6800,1.799985
FILLER_15_102,VPWR,li1,54.2800,51.6800,1.799985
FILLER_15_88,VPWR,li1,47.8400,51.6800,1.799986
FILLER_15_76,VPWR,li1,43.2400,51.6800,1.799988
FILLER_15_65,VPWR,li1,36.1100,51.6800,1.799989
FILLER_15_57,VPWR,li1,33.5800,51.6800,1.799990
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799991
FILLER_15_42,VPWR,li1,27.6000,51.6800,1.799993
FILLER_15_37,VPWR,li1,22.7700,51.6800,1.799995
FILLER_15_33,VPWR,li1,21.6200,51.6800,1.799995
FILLER_15_22,VPWR,li1,17.0200,51.6800,1.799995
FILLER_15_13,VPWR,li1,11.7300,51.6800,1.799995
FILLER_15_7,VPWR,li1,10.1200,51.6800,1.799995
FILLER_14_147,VPWR,li1,73.3700,51.6800,1.799982
FILLER_14_141,VPWR,li1,71.7600,51.6800,1.799982
FILLER_14_97,VPWR,li1,51.5200,51.6800,1.799986
FILLER_14_85,VPWR,li1,47.3800,51.6800,1.799986
FILLER_14_83,VPWR,li1,43.9300,51.6800,1.799987
FILLER_14_75,VPWR,li1,41.8600,51.6800,1.799988
FILLER_14_63,VPWR,li1,37.2600,51.6800,1.799989
FILLER_14_51,VPWR,li1,31.7400,51.6800,1.799991
FILLER_14_41,VPWR,li1,25.3000,51.6800,1.799994
FILLER_14_29,VPWR,li1,21.6200,51.6800,1.799995
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799995
FILLER_14_3,VPWR,li1,7.3600,51.6800,1.799995
FILLER_13_142,VPWR,li1,72.2200,46.2400,1.799942
FILLER_13_125,VPWR,li1,64.8600,46.2400,1.799943
FILLER_13_111,VPWR,li1,56.8100,46.2400,1.799945
FILLER_13_103,VPWR,li1,53.3600,46.2400,1.799947
FILLER_13_99,VPWR,li1,51.2900,46.2400,1.799948
FILLER_13_93,VPWR,li1,49.6800,46.2400,1.799948
FILLER_13_76,VPWR,li1,40.9400,46.2400,1.799955
FILLER_13_68,VPWR,li1,38.6400,46.2400,1.799957
FILLER_13_52,VPWR,li1,30.3600,46.2400,1.799967
FILLER_13_40,VPWR,li1,26.6800,46.2400,1.799972
FILLER_13_36,VPWR,li1,22.3100,46.2400,1.799981
FILLER_13_32,VPWR,li1,21.1600,46.2400,1.799981
FILLER_13_27,VPWR,li1,18.1700,46.2400,1.799981
FILLER_13_19,VPWR,li1,16.1000,46.2400,1.799980
FILLER_13_7,VPWR,li1,11.5000,46.2400,1.799980
FILLER_12_141,VPWR,li1,71.3000,46.2400,1.799942
FILLER_12_136,VPWR,li1,69.0000,46.2400,1.799942
FILLER_12_110,VPWR,li1,56.3500,46.2400,1.799946
FILLER_12_104,VPWR,li1,54.7400,46.2400,1.799946
FILLER_12_92,VPWR,li1,50.6000,46.2400,1.799948
FILLER_12_37,VPWR,li1,23.9200,46.2400,1.799978
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799981
FILLER_12_6,VPWR,li1,8.5100,46.2400,1.799980
FILLER_11_144,VPWR,li1,71.9900,40.8000,1.799966
FILLER_11_125,VPWR,li1,63.2500,40.8000,1.799967
FILLER_11_113,VPWR,li1,60.2600,40.8000,1.799967
FILLER_11_109,VPWR,li1,56.3500,40.8000,1.799969
FILLER_11_97,VPWR,li1,52.9000,40.8000,1.799970
FILLER_11_69,VPWR,li1,39.1000,40.8000,1.799975
FILLER_11_50,VPWR,li1,29.2100,40.8000,1.799981
FILLER_11_42,VPWR,li1,26.6800,40.8000,1.799984
FILLER_11_30,VPWR,li1,22.0800,40.8000,1.799987
FILLER_11_23,VPWR,li1,16.3300,40.8000,1.799984
FILLER_11_15,VPWR,li1,14.2600,40.8000,1.799984
FILLER_11_3,VPWR,li1,9.6600,40.8000,1.799983
FILLER_10_141,VPWR,li1,71.3000,40.8000,1.799966
FILLER_10_114,VPWR,li1,58.1900,40.8000,1.799968
FILLER_10_108,VPWR,li1,56.5800,40.8000,1.799969
FILLER_10_96,VPWR,li1,52.4400,40.8000,1.799970
FILLER_10_76,VPWR,li1,42.3200,40.8000,1.799973
FILLER_10_64,VPWR,li1,37.7200,40.8000,1.799976
FILLER_10_43,VPWR,li1,25.5300,40.8000,1.799984
FILLER_10_35,VPWR,li1,23.4600,40.8000,1.799987
FILLER_10_29,VPWR,li1,19.5500,40.8000,1.799986
FILLER_10_26,VPWR,li1,17.9400,40.8000,1.799985
FILLER_10_19,VPWR,li1,15.1800,40.8000,1.799984
FILLER_10_7,VPWR,li1,10.1200,40.8000,1.799983
FILLER_9_140,VPWR,li1,71.7600,35.3600,1.799985
FILLER_9_121,VPWR,li1,61.8700,35.3600,1.799985
FILLER_9_113,VPWR,li1,59.3400,35.3600,1.799985
FILLER_9_111,VPWR,li1,56.8100,35.3600,1.799986
FILLER_9_103,VPWR,li1,54.7400,35.3600,1.799986
FILLER_9_81,VPWR,li1,43.0100,35.3600,1.799987
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799987
FILLER_9_63,VPWR,li1,34.7300,35.3600,1.799988
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799989
FILLER_9_42,VPWR,li1,27.6000,35.3600,1.799989
FILLER_9_14,VPWR,li1,13.8000,35.3600,1.799990
FILLER_9_10,VPWR,li1,10.3500,35.3600,1.799990
FILLER_9_6,VPWR,li1,9.2000,35.3600,1.799990
FILLER_8_147,VPWR,li1,73.3700,35.3600,1.799985
FILLER_8_141,VPWR,li1,71.7600,35.3600,1.799985
FILLER_8_139,VPWR,li1,69.6900,35.3600,1.799985
FILLER_8_131,VPWR,li1,67.6200,35.3600,1.799985
FILLER_8_119,VPWR,li1,63.0200,35.3600,1.799985
FILLER_8_107,VPWR,li1,57.5000,35.3600,1.799986
FILLER_8_95,VPWR,li1,51.9800,35.3600,1.799986
FILLER_8_89,VPWR,li1,46.6900,35.3600,1.799987
FILLER_8_85,VPWR,li1,45.5400,35.3600,1.799987
FILLER_8_59,VPWR,li1,33.1200,35.3600,1.799988
FILLER_8_40,VPWR,li1,24.3800,35.3600,1.799991
FILLER_8_3,VPWR,li1,7.8200,35.3600,1.799990
FILLER_7_141,VPWR,li1,71.3000,29.9200,1.799972
FILLER_7_121,VPWR,li1,61.6400,29.9200,1.799973
FILLER_7_113,VPWR,li1,59.3400,29.9200,1.799973
FILLER_7_110,VPWR,li1,56.5800,29.9200,1.799973
FILLER_7_73,VPWR,li1,39.7900,29.9200,1.799981
FILLER_7_65,VPWR,li1,37.2600,29.9200,1.799982
FILLER_7_54,VPWR,li1,30.8200,29.9200,1.799986
FILLER_7_46,VPWR,li1,28.5200,29.9200,1.799988
FILLER_7_42,VPWR,li1,25.0700,29.9200,1.799991
FILLER_7_38,VPWR,li1,23.9200,29.9200,1.799991
FILLER_7_20,VPWR,li1,16.5600,29.9200,1.799992
FILLER_7_15,VPWR,li1,12.8800,29.9200,1.799992
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799992
FILLER_6_141,VPWR,li1,71.3000,29.9200,1.799972
FILLER_6_136,VPWR,li1,69.0000,29.9200,1.799972
FILLER_6_118,VPWR,li1,60.2600,29.9200,1.799973
FILLER_6_106,VPWR,li1,57.0400,29.9200,1.799973
FILLER_6_79,VPWR,li1,42.3200,29.9200,1.799979
FILLER_6_54,VPWR,li1,30.5900,29.9200,1.799986
FILLER_6_48,VPWR,li1,28.9800,29.9200,1.799988
FILLER_6_32,VPWR,li1,22.0800,29.9200,1.799992
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799992
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.799992
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.799992
FILLER_5_146,VPWR,li1,73.1400,24.4800,1.799965
FILLER_5_113,VPWR,li1,59.3400,24.4800,1.799967
FILLER_5_104,VPWR,li1,55.2000,24.4800,1.799967
FILLER_5_92,VPWR,li1,50.6000,24.4800,1.799969
FILLER_5_88,VPWR,li1,46.2300,24.4800,1.799969
FILLER_5_78,VPWR,li1,41.6300,24.4800,1.799970
FILLER_5_70,VPWR,li1,39.5600,24.4800,1.799971
FILLER_5_61,VPWR,li1,34.9600,24.4800,1.799972
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799973
FILLER_4_141,VPWR,li1,71.3000,24.4800,1.799965
FILLER_4_136,VPWR,li1,69.0000,24.4800,1.799965
FILLER_4_126,VPWR,li1,63.7100,24.4800,1.799966
FILLER_4_120,VPWR,li1,62.1000,24.4800,1.799966
FILLER_4_108,VPWR,li1,57.9600,24.4800,1.799967
FILLER_4_96,VPWR,li1,52.4400,24.4800,1.799968
FILLER_4_85,VPWR,li1,46.4600,24.4800,1.799969
FILLER_4_80,VPWR,li1,43.2400,24.4800,1.799970
FILLER_4_67,VPWR,li1,37.7200,24.4800,1.799971
FILLER_4_7,VPWR,li1,8.9700,24.4800,1.799965
FILLER_4_3,VPWR,li1,7.8200,24.4800,1.799965
FILLER_3_147,VPWR,li1,73.3700,19.0400,1.799944
FILLER_3_141,VPWR,li1,71.7600,19.0400,1.799944
FILLER_3_122,VPWR,li1,62.3300,19.0400,1.799945
FILLER_3_111,VPWR,li1,56.8100,19.0400,1.799946
FILLER_3_99,VPWR,li1,53.8200,19.0400,1.799947
FILLER_3_57,VPWR,li1,31.9700,19.0400,1.799960
FILLER_3_11,VPWR,li1,10.8100,19.0400,1.799961
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799961
FILLER_2_141,VPWR,li1,71.3000,19.0400,1.799944
FILLER_2_130,VPWR,li1,65.5500,19.0400,1.799944
FILLER_2_97,VPWR,li1,50.3700,19.0400,1.799948
FILLER_2_89,VPWR,li1,48.3000,19.0400,1.799949
FILLER_2_85,VPWR,li1,44.8500,19.0400,1.799952
FILLER_2_71,VPWR,li1,38.4100,19.0400,1.799956
FILLER_2_50,VPWR,li1,28.7500,19.0400,1.799963
FILLER_2_7,VPWR,li1,8.9700,19.0400,1.799961
FILLER_2_3,VPWR,li1,7.8200,19.0400,1.799961
FILLER_1_147,VPWR,li1,73.3700,13.6000,1.799952
FILLER_1_141,VPWR,li1,71.7600,13.6000,1.799952
FILLER_1_122,VPWR,li1,62.3300,13.6000,1.799953
FILLER_1_97,VPWR,li1,51.5200,13.6000,1.799956
FILLER_1_85,VPWR,li1,47.3800,13.6000,1.799958
FILLER_1_73,VPWR,li1,41.8600,13.6000,1.799961
FILLER_1_61,VPWR,li1,36.3400,13.6000,1.799963
FILLER_1_35,VPWR,li1,21.8500,13.6000,1.799978
FILLER_1_31,VPWR,li1,20.7000,13.6000,1.799978
FILLER_1_7,VPWR,li1,8.9700,13.6000,1.799976
FILLER_1_3,VPWR,li1,7.8200,13.6000,1.799976
FILLER_0_147,VPWR,li1,73.3700,13.6000,1.799952
FILLER_0_141,VPWR,li1,71.7600,13.6000,1.799952
FILLER_0_130,VPWR,li1,65.5500,13.6000,1.799952
FILLER_0_118,VPWR,li1,62.5600,13.6000,1.799953
FILLER_0_113,VPWR,li1,57.9600,13.6000,1.799954
FILLER_0_111,VPWR,li1,56.8100,13.6000,1.799954
FILLER_0_105,VPWR,li1,54.5100,13.6000,1.799955
FILLER_0_97,VPWR,li1,51.9800,13.6000,1.799956
FILLER_0_85,VPWR,li1,47.3800,13.6000,1.799958
FILLER_0_81,VPWR,li1,43.4700,13.6000,1.799961
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799961
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799964
FILLER_0_54,VPWR,li1,30.8200,13.6000,1.799966
FILLER_0_43,VPWR,li1,27.1400,13.6000,1.799967
FILLER_0_37,VPWR,li1,23.2300,13.6000,1.799973
FILLER_0_29,VPWR,li1,20.7000,13.6000,1.799978
FILLER_0_24,VPWR,li1,17.4800,13.6000,1.799977
FILLER_0_15,VPWR,li1,13.1100,13.6000,1.799976
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799976
hold4,VPWR,li1,23.9200,24.4800,1.799977
hold3,VPWR,li1,29.4400,19.0400,1.799963
hold2,VPWR,li1,12.8800,19.0400,1.799961
hold1,VPWR,li1,20.2400,24.4800,1.799978
clkload0,VPWR,li1,28.9800,24.4800,1.799973
clkbuf_1_1__f_clk,VPWR,li1,26.6800,13.6000,1.799967
clkbuf_1_0__f_clk,VPWR,li1,11.5000,24.4800,1.799965
clkbuf_0_clk,VPWR,li1,19.3200,19.0400,1.799962
fanout40,VPWR,li1,12.8800,40.8000,1.799984
fanout39,VPWR,li1,37.2600,46.2400,1.799960
fanout38,VPWR,li1,32.6600,13.6000,1.799965
fanout37,VPWR,li1,49.6800,68.0000,1.799944
fanout36,VPWR,li1,34.0400,57.1200,1.799989
fanout35,VPWR,li1,32.6600,24.4800,1.799972
fanout34,VPWR,li1,41.4000,24.4800,1.799970
fanout33,VPWR,li1,49.2200,57.1200,1.799984
fanout32,VPWR,li1,36.3400,40.8000,1.799976
max_cap31,VPWR,li1,43.0100,57.1200,1.799985
max_cap30,VPWR,li1,43.4700,46.2400,1.799952
fanout29,VPWR,li1,19.3200,46.2400,1.799981
fanout28,VPWR,li1,33.1200,35.3600,1.799988
output27,VPWR,li1,7.8200,40.8000,1.799983
output26,VPWR,li1,7.8200,68.0000,1.799984
output25,VPWR,li1,30.3600,78.8800,1.799998
output24,VPWR,li1,23.9200,78.8800,1.799999
output23,VPWR,li1,7.8200,62.5600,1.799993
output22,VPWR,li1,33.5800,78.8800,1.799997
output21,VPWR,li1,27.1400,78.8800,1.799998
output20,VPWR,li1,7.8200,51.6800,1.799995
output19,VPWR,li1,7.8200,46.2400,1.799980
input18,VPWR,li1,72.9100,46.2400,1.799942
input17,VPWR,li1,7.5900,46.2400,1.799980
input16,VPWR,li1,7.5900,35.3600,1.799990
input15,VPWR,li1,72.9100,40.8000,1.799966
input14,VPWR,li1,72.9100,29.9200,1.799972
input13,VPWR,li1,59.1100,13.6000,1.799954
input12,VPWR,li1,72.9100,19.0400,1.799944
input11,VPWR,li1,72.9100,51.6800,1.799982
input10,VPWR,li1,72.9100,57.1200,1.799981
input9,VPWR,li1,72.9100,57.1200,1.799981
input8,VPWR,li1,59.1100,78.8800,1.799994
input7,VPWR,li1,72.9100,40.8000,1.799966
input6,VPWR,li1,72.9100,29.9200,1.799972
input5,VPWR,li1,55.8900,13.6000,1.799955
input4,VPWR,li1,72.9100,24.4800,1.799965
input3,VPWR,li1,72.9100,68.0000,1.799939
input2,VPWR,li1,55.8900,78.8800,1.799995
input1,VPWR,li1,72.9100,73.4400,1.799981
TAP_TAPCELL_ROW_24_116,VPWR,li1,70.1500,78.5730,1.799993
TAP_TAPCELL_ROW_24_115,VPWR,li1,57.2700,78.5730,1.799994
TAP_TAPCELL_ROW_24_114,VPWR,li1,44.3900,78.5730,1.799996
TAP_TAPCELL_ROW_24_113,VPWR,li1,31.5100,78.5730,1.799997
TAP_TAPCELL_ROW_24_112,VPWR,li1,18.6300,78.5730,1.799999
TAP_TAPCELL_ROW_23_111,VPWR,li1,57.2700,73.7460,1.799983
TAP_TAPCELL_ROW_23_110,VPWR,li1,31.5100,73.7460,1.799993
TAP_TAPCELL_ROW_22_109,VPWR,li1,70.1500,73.1330,1.799981
TAP_TAPCELL_ROW_22_108,VPWR,li1,44.3900,73.1330,1.799987
TAP_TAPCELL_ROW_22_107,VPWR,li1,18.6300,73.1330,1.799996
TAP_TAPCELL_ROW_21_106,VPWR,li1,57.2700,68.3060,1.799941
TAP_TAPCELL_ROW_21_105,VPWR,li1,31.5100,68.3060,1.799970
TAP_TAPCELL_ROW_20_104,VPWR,li1,70.1500,67.6930,1.799939
TAP_TAPCELL_ROW_20_103,VPWR,li1,44.3900,67.6930,1.799949
TAP_TAPCELL_ROW_20_102,VPWR,li1,18.6300,67.6930,1.799984
TAP_TAPCELL_ROW_19_101,VPWR,li1,57.2700,62.8660,1.799982
TAP_TAPCELL_ROW_19_100,VPWR,li1,31.5100,62.8660,1.799989
TAP_TAPCELL_ROW_18_99,VPWR,li1,70.1500,62.2530,1.799980
TAP_TAPCELL_ROW_18_98,VPWR,li1,44.3900,62.2530,1.799983
TAP_TAPCELL_ROW_18_97,VPWR,li1,18.6300,62.2530,1.799993
TAP_TAPCELL_ROW_17_96,VPWR,li1,57.2700,57.4260,1.799982
TAP_TAPCELL_ROW_17_95,VPWR,li1,31.5100,57.4260,1.799990
TAP_TAPCELL_ROW_16_94,VPWR,li1,70.1500,56.8130,1.799981
TAP_TAPCELL_ROW_16_93,VPWR,li1,44.3900,56.8130,1.799985
TAP_TAPCELL_ROW_16_92,VPWR,li1,18.6300,56.8130,1.799994
TAP_TAPCELL_ROW_15_91,VPWR,li1,57.2700,51.9860,1.799985
TAP_TAPCELL_ROW_15_90,VPWR,li1,31.5100,51.9860,1.799991
TAP_TAPCELL_ROW_14_89,VPWR,li1,70.1500,51.3730,1.799982
TAP_TAPCELL_ROW_14_88,VPWR,li1,44.3900,51.3730,1.799987
TAP_TAPCELL_ROW_14_87,VPWR,li1,18.6300,51.3730,1.799995
TAP_TAPCELL_ROW_13_86,VPWR,li1,57.2700,46.5460,1.799945
TAP_TAPCELL_ROW_13_85,VPWR,li1,31.5100,46.5460,1.799967
TAP_TAPCELL_ROW_12_84,VPWR,li1,70.1500,45.9330,1.799942
TAP_TAPCELL_ROW_12_83,VPWR,li1,44.3900,45.9330,1.799952
TAP_TAPCELL_ROW_12_82,VPWR,li1,18.6300,45.9330,1.799981
TAP_TAPCELL_ROW_11_81,VPWR,li1,57.2700,41.1060,1.799969
TAP_TAPCELL_ROW_11_80,VPWR,li1,31.5100,41.1060,1.799979
TAP_TAPCELL_ROW_10_79,VPWR,li1,70.1500,40.4930,1.799966
TAP_TAPCELL_ROW_10_78,VPWR,li1,44.3900,40.4930,1.799972
TAP_TAPCELL_ROW_10_77,VPWR,li1,18.6300,40.4930,1.799985
TAP_TAPCELL_ROW_9_76,VPWR,li1,57.2700,35.6660,1.799986
TAP_TAPCELL_ROW_9_75,VPWR,li1,31.5100,35.6660,1.799989
TAP_TAPCELL_ROW_8_74,VPWR,li1,70.1500,35.0530,1.799985
TAP_TAPCELL_ROW_8_73,VPWR,li1,44.3900,35.0530,1.799987
TAP_TAPCELL_ROW_8_72,VPWR,li1,18.6300,35.0530,1.799991
TAP_TAPCELL_ROW_7_71,VPWR,li1,57.2700,30.2260,1.799973
TAP_TAPCELL_ROW_7_70,VPWR,li1,31.5100,30.2260,1.799986
TAP_TAPCELL_ROW_6_69,VPWR,li1,70.1500,29.6130,1.799972
TAP_TAPCELL_ROW_6_68,VPWR,li1,44.3900,29.6130,1.799978
TAP_TAPCELL_ROW_6_67,VPWR,li1,18.6300,29.6130,1.799992
TAP_TAPCELL_ROW_5_66,VPWR,li1,57.2700,24.7860,1.799967
TAP_TAPCELL_ROW_5_65,VPWR,li1,31.5100,24.7860,1.799973
TAP_TAPCELL_ROW_4_64,VPWR,li1,70.1500,24.1730,1.799965
TAP_TAPCELL_ROW_4_63,VPWR,li1,44.3900,24.1730,1.799970
TAP_TAPCELL_ROW_4_62,VPWR,li1,18.6300,24.1730,1.799973
TAP_TAPCELL_ROW_3_61,VPWR,li1,57.2700,19.3460,1.799946
TAP_TAPCELL_ROW_3_60,VPWR,li1,31.5100,19.3460,1.799960
TAP_TAPCELL_ROW_2_59,VPWR,li1,70.1500,18.7330,1.799944
TAP_TAPCELL_ROW_2_58,VPWR,li1,44.3900,18.7330,1.799952
TAP_TAPCELL_ROW_2_57,VPWR,li1,18.6300,18.7330,1.799962
